route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
04250625-38,20250425,20250425-38-38170,38 - Malton GO,,1,steep001,388863,1,1,38
04250625-94,20250425,20250425-94-94950,94 - Square One,,1,oshaw026,389500,1,1,94
04250625-56,20250425,20250425-56-56841,56 - DC Oshawa GO,,0,oshaw026,388896,1,1,56
04250625-56,20250425,20250425-56-56680,56 - Oakville GO,,1,oshaw026,388893,1,1,56
04250625-90,20250425,20250425-90-90990,90B - DC Oshawa GO,,0,oshaw025,389493,1,1,90B
04250625-56,20250425,20250425-56-56830,56 - Oakville GO,,1,oshaw025,388893,1,1,56
04250625-88,20250425,20250425-88-88721,88 - DC Oshawa GO,,1,oshaw025,389491,1,1,88
04250625-88,20250425,20250425-88-88720,88B - Trent U,,0,oshaw025,389488,1,1,88B
04250625-94,20250425,20250425-94-94711,94 - Pickering GO,,0,oshaw024,389499,1,1,94
04250625-41,20250425,20250425-41-41523,41C - Square One,,1,oshaw024,388868,1,1,41C
04250625-96,20250425,20250425-96-96881,96B - DC Oshawa GO,,0,oshaw023,389501,1,1,96B
04250625-96,20250425,20250425-96-96830,96B - Finch Terminal,,1,oshaw023,389502,1,1,96B
04250625-92,20250425,20250425-92-92681,92 - DC Oshawa GO,,0,oshaw023,389495,1,1,92
04250625-92,20250425,20250425-92-92560,92 - Yorkdale Term,,1,oshaw023,389496,1,1,92
04250625-88,20250425,20250425-88-88870,88 - Trent U,,0,oshaw022,389487,1,1,88
04250625-92,20250425,20250425-92-92731,92 - DC Oshawa GO,,0,oshaw022,389495,1,1,92
04250625-94,20250425,20250425-94-94560,94 - Square One,,1,oshaw022,389500,1,1,94
04250625-56,20250425,20250425-56-56771,56 - DC Oshawa GO,,0,oshaw021,388896,1,1,56
04250625-56,20250425,20250425-56-56530,56 - Oakville GO,,1,oshaw021,388893,1,1,56
04250625-88,20250425,20250425-88-88830,88 - Trent U,,0,oshaw020,389487,1,1,88
04250625-92,20250425,20250425-92-92631,92 - DC Oshawa GO,,0,oshaw020,389495,1,1,92
04250625-92,20250425,20250425-92-92500,92 - Yorkdale Term,,1,oshaw020,389496,1,1,92
04250625-94,20250425,20250425-94-94831,94 - Pickering GO,,0,oshaw019,389499,1,1,94
04250625-94,20250425,20250425-94-94750,94 - Square One,,1,oshaw019,389500,1,1,94
04250625-94,20250425,20250425-94-94621,94 - Pickering GO,,0,oshaw019,389499,1,1,94
04250625-41,20250425,20250425-41-41463,41A - Square One,,1,oshaw019,388866,1,1,41A
04250625-96,20250425,20250425-96-96781,96B - DC Oshawa GO,,0,oshaw018,389501,1,1,96B
04250625-96,20250425,20250425-96-96720,96B - Finch Terminal,,1,oshaw018,389502,1,1,96B
04250625-92,20250425,20250425-92-92571,92 - DC Oshawa GO,,0,oshaw018,389495,1,1,92
04250625-92,20250425,20250425-92-92450,92 - Yorkdale Term,,1,oshaw018,389496,1,1,92
04250625-56,20250425,20250425-56-56601,56 - DC Oshawa GO,,0,oshaw017,388896,1,1,56
04250625-56,20250425,20250425-56-56420,56 - Oakville GO,,1,oshaw017,388893,1,1,56
04250625-41,20250425,20250425-41-41650,41 - Pickering GO,,0,oshaw016,388869,1,1,41
04250625-41,20250425,20250425-41-41411,41 - Hamilton GO,,1,oshaw016,388871,1,1,41
04250625-88,20250425,20250425-88-88461,88C - DC Oshawa GO,,1,oshaw015,389490,1,1,88C
04250625-88,20250425,20250425-88-88480,88C - Trent U,,0,oshaw015,389489,1,1,88C
04250625-56,20250425,20250425-56-56441,56 - DC Oshawa GO,,0,oshaw014,388896,1,1,56
04250625-56,20250425,20250425-56-56270,56 - Oakville GO,,1,oshaw014,388893,1,1,56
04250625-56,20250425,20250425-56-56351,56 - DC Oshawa GO,,0,oshaw013,388896,1,1,56
04250625-56,20250425,20250425-56-56180,56 - Oakville GO,,1,oshaw013,388893,1,1,56
04250625-56,20250425,20250425-56-56331,56 - DC Oshawa GO,,0,oshaw012,388896,1,1,56
04250625-56,20250425,20250425-56-56150,56 - Oakville GO,,1,oshaw012,388893,1,1,56
04250625-88,20250425,20250425-88-88950,88 - Trent U,,0,oshaw011,389487,1,1,88
04250625-88,20250425,20250425-88-88811,88 - DC Oshawa GO,,1,oshaw011,389491,1,1,88
04250625-88,20250425,20250425-88-88760,88B - Trent U,,0,oshaw011,389488,1,1,88B
04250625-92,20250425,20250425-92-92521,92 - DC Oshawa GO,,0,oshaw011,389495,1,1,92
04250625-92,20250425,20250425-92-92410,92 - Yorkdale Term,,1,oshaw011,389496,1,1,92
04250625-88,20250425,20250425-88-88261,88 - DC Oshawa GO,,1,oshaw011,389491,1,1,88
04250625-88,20250425,20250425-88-88220,88 - Trent U,,0,oshaw011,389487,1,1,88
04250625-92,20250425,20250425-92-92431,92 - DC Oshawa GO,,0,oshaw010,389495,1,1,92
04250625-92,20250425,20250425-92-92330,92 - Yorkdale Term,,1,oshaw010,389496,1,1,92
04250625-92,20250425,20250425-92-92231,92 - DC Oshawa GO,,0,oshaw010,389495,1,1,92
04250625-92,20250425,20250425-92-92090,92 - Yorkdale Term,,1,oshaw010,389496,1,1,92
04250625-88,20250425,20250425-88-88521,88 - DC Oshawa GO,,1,oshaw009,389491,1,1,88
04250625-88,20250425,20250425-88-88520,88 - Trent U,,0,oshaw009,389487,1,1,88
04250625-41,20250425,20250425-41-41182,41A - Pickering GO,,0,oshaw009,388872,1,1,41A
04250625-94,20250425,20250425-94-94090,94 - Square One,,1,oshaw009,389500,1,1,94
04250625-92,20250425,20250425-92-92391,92 - DC Oshawa GO,,0,oshaw008,389495,1,1,92
04250625-92,20250425,20250425-92-92290,92 - Yorkdale Term,,1,oshaw008,389496,1,1,92
04250625-92,20250425,20250425-92-92171,92 - DC Oshawa GO,,0,oshaw008,389495,1,1,92
04250625-92,20250425,20250425-92-92072,92A - Yorkdale Term,,1,oshaw008,389497,1,1,92A
04250625-96,20250425,20250425-96-96191,96B - DC Oshawa GO,,0,oshaw007,389501,1,1,96B
04250625-96,20250425,20250425-96-96070,96B - Finch Terminal,,1,oshaw007,389502,1,1,96B
04250625-96,20250425,20250425-96-96220,96B - Finch Terminal,,1,oshaw006,389502,1,1,96B
04250625-96,20250425,20250425-96-96131,96B - DC Oshawa GO,,0,oshaw006,389501,1,1,96B
